Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 04, 2021",$428.19,$428.44,$366.27,$391.40,"$4,951,450,795","$60,052,916,384"
"Jun 03, 2021",$401.76,$432.31,$392.03,$427.81,"$4,370,188,399","$65,639,810,000"
"Jun 02, 2021",$362.36,$418.67,$350.96,$401.26,"$4,486,850,584","$61,566,839,406"
"Jun 01, 2021",$353.78,$364.32,$340.47,$362.79,"$3,425,775,257","$55,664,633,494"
"May 31, 2021",$325.81,$355.98,$307.94,$354.33,"$3,865,691,845","$54,365,777,869"
"May 30, 2021",$305.04,$337.74,$292.85,$325.78,"$3,246,314,973","$49,985,988,837"
"May 29, 2021",$328.99,$346.92,$296.57,$305.05,"$3,070,017,878","$46,805,037,636"
"May 28, 2021",$369.84,$373.31,$313.72,$329.88,"$4,482,824,807","$50,614,430,478"
"May 27, 2021",$379.69,$387.49,$340.89,$367.66,"$3,965,850,350","$56,410,493,527"
"May 26, 2021",$343.53,$387.77,$337.06,$379.85,"$4,502,557,689","$58,282,146,665"
"May 25, 2021",$345.49,$374.60,$307.73,$344.11,"$5,656,677,341","$52,798,403,677"
"May 24, 2021",$261.12,$350.27,$258.62,$345.31,"$6,066,277,282","$52,981,857,815"
"May 23, 2021",$300.04,$313.53,$213.52,$262.95,"$5,336,233,746","$40,344,516,407"
"May 22, 2021",$326.80,$335.73,$285.35,$299.50,"$3,871,242,832","$45,953,780,782"
"May 21, 2021",$391.54,$415.71,$275.39,$326.30,"$6,291,181,865","$50,064,589,685"
"May 20, 2021",$335.56,$424.29,$286.09,$393.61,"$7,093,839,295","$60,393,147,664"
"May 19, 2021",$508.86,$515.72,$283.45,$339.03,"$8,779,943,654","$52,017,662,499"
"May 18, 2021",$511.39,$534.18,$496.98,$508.02,"$3,548,216,902","$77,947,333,995"
"May 17, 2021",$564.45,$564.45,$486.00,$511.96,"$5,123,430,659","$78,552,180,732"
"May 16, 2021",$562.65,$606.00,$535.06,$562.83,"$4,047,395,255","$86,356,615,319"
"May 15, 2021",$602.55,$610.51,$561.17,$563.04,"$3,480,395,174","$86,389,113,997"
"May 14, 2021",$570.96,$614.49,$567.03,$603.13,"$3,735,474,448","$92,539,717,936"
"May 13, 2021",$592.95,$632.97,$530.24,$571.43,"$7,417,114,170","$87,676,856,077"
"May 12, 2021",$671.78,$684.14,$588.19,$588.19,"$4,311,561,442","$90,246,958,221"
"May 11, 2021",$631.24,$672.46,$623.25,$672.33,"$4,865,455,319","$103,158,145,076"
"May 10, 2021",$661.45,$690.93,$596.17,$631.35,"$5,157,435,389","$96,870,167,482"
"May 09, 2021",$646.31,$678.23,$631.47,$662.23,"$4,321,052,943","$101,607,648,678"
"May 08, 2021",$624.39,$657.54,$618.84,$646.10,"$3,910,931,715","$99,133,120,518"
"May 07, 2021",$634.01,$644.12,$612.16,$624.56,"$3,658,116,306","$95,828,556,591"
"May 06, 2021",$651.05,$653.41,$621.07,$633.28,"$3,975,000,211","$97,166,045,768"
"May 05, 2021",$609.33,$656.24,$605.17,$651.66,"$4,248,449,283","$99,986,497,074"
"May 04, 2021",$676.32,$676.92,$606.27,$611.20,"$5,728,175,230","$93,778,232,799"
"May 03, 2021",$621.90,$679.82,$621.90,$675.68,"$5,274,868,721","$103,672,165,463"
"May 02, 2021",$619.97,$628.62,$595.86,$622.10,"$3,765,184,551","$95,450,760,764"
"May 01, 2021",$622.47,$641.86,$611.30,$619.35,"$4,065,705,136","$95,028,239,640"
"Apr 30, 2021",$599.99,$627.78,$586.21,$624.08,"$5,741,358,048","$95,754,488,402"
"Apr 29, 2021",$562.87,$614.82,$554.28,$599.71,"$6,585,918,998","$92,014,712,105"
"Apr 28, 2021",$568.75,$578.89,$539.07,$562.63,"$3,648,784,689","$86,326,344,910"
"Apr 27, 2021",$535.43,$578.62,$525.77,$568.47,"$4,050,720,272","$87,222,083,030"
"Apr 26, 2021",$504.75,$549.97,$502.31,$534.58,"$4,072,866,875","$82,021,803,835"
"Apr 25, 2021",$496.26,$517.08,$478.89,$505.08,"$3,419,309,603","$77,495,435,715"
"Apr 24, 2021",$526.76,$527.44,$483.96,$496.42,"$4,070,234,640","$76,166,401,717"
"Apr 23, 2021",$505.86,$530.07,$452.44,$526.57,"$8,893,557,870","$80,792,431,547"
"Apr 22, 2021",$544.01,$582.04,$481.26,$506.01,"$8,342,960,849","$77,639,041,510"
"Apr 21, 2021",$586.90,$612.69,$537.35,$546.02,"$8,456,300,946","$83,777,978,676"
"Apr 20, 2021",$503.80,$588.06,$475.59,$587.03,"$9,330,924,061","$90,069,573,288"
"Apr 19, 2021",$481.40,$539.71,$469.15,$505.09,"$7,141,301,320","$77,497,870,497"
"Apr 18, 2021",$520.59,$526.06,$429.05,$481.03,"$6,711,806,048","$73,806,479,141"
"Apr 17, 2021",$509.58,$548.60,$509.05,$520.42,"$5,195,399,091","$79,849,049,194"
"Apr 16, 2021",$542.57,$548.89,$493.01,$510.22,"$6,886,285,728","$78,284,562,613"
"Apr 15, 2021",$550.41,$556.83,$536.08,$542.63,"$4,608,061,831","$83,854,448,856"
"Apr 14, 2021",$550.40,$590.42,$526.53,$549.59,"$7,452,346,448","$84,929,962,001"
"Apr 13, 2021",$596.99,$602.30,$532.96,$549.59,"$9,433,830,832","$84,929,138,157"
"Apr 12, 2021",$526.70,$637.44,$516.28,$598.72,"$14,436,315,725","$92,522,278,160"
"Apr 11, 2021",$471.65,$529.65,$459.59,$525.39,"$5,697,422,904","$81,189,295,175"
"Apr 10, 2021",$454.34,$487.28,$451.36,$472.56,"$6,160,670,397","$73,026,065,780"
