Date,Open*,High,Low,Close**,Volume,Market Cap
"June 4, 2021","$39,242.4900000","$39,242.4900000","$35,717.7200000","$36,894.4100000","$41,831,090,187","$690,915,072,093"
"June 3, 2021","$37,599.4100000","$39,478.9500000","$37,243.9700000","$39,208.7700000","$35,460,750,427","$734,224,332,239"
"June 2, 2021","$36,699.9200000","$38,231.3400000","$35,966.3100000","$37,575.1800000","$33,070,867,190","$703,599,671,425"
"June 1, 2021","$37,293.7900000","$37,896.7400000","$35,787.0900000","$36,684.9200000","$34,639,423,297","$686,891,021,225"
"May 31, 2021","$35,658.5900000","$37,468.2500000","$34,241.9400000","$37,332.8500000","$39,009,847,639","$698,990,486,185"
"May 30, 2021","$34,607.4100000","$36,400.6700000","$33,520.7400000","$35,678.1300000","$31,646,080,921","$667,976,638,398"
"May 29, 2021","$35,684.1600000","$37,234.5000000","$33,693.9300000","$34,616.0700000","$45,231,013,335","$648,061,013,208"
"May 28, 2021","$38,507.0800000","$38,856.9700000","$34,779.0400000","$35,697.6100000","$55,200,191,952","$668,283,930,067"
"May 27, 2021","$39,316.8900000","$40,379.6200000","$37,247.9000000","$38,436.9700000","$43,210,968,721","$719,538,129,128"
"May 26, 2021","$38,392.6200000","$40,782.0800000","$37,905.8300000","$39,294.2000000","$51,346,735,160","$735,556,411,166"
"May 25, 2021","$38,795.7800000","$39,776.3500000","$36,581.4300000","$38,402.2200000","$56,211,915,803","$718,829,377,408"
"May 24, 2021","$34,700.3600000","$39,835.1400000","$34,551.0800000","$38,705.9800000","$67,359,584,098","$724,332,072,424"
"May 23, 2021","$37,531.4500000","$38,289.2200000","$31,227.3400000","$34,770.5800000","$78,469,274,361","$650,686,270,744"
"May 22, 2021","$37,371.0300000","$38,831.0500000","$35,383.6800000","$37,536.6300000","$57,377,273,240","$702,449,253,648"
"May 21, 2021","$40,596.9500000","$42,172.1700000","$33,616.4500000","$37,304.6900000","$82,051,616,861","$698,108,789,817"
"May 20, 2021","$36,753.6700000","$42,462.9800000","$35,050.6200000","$40,782.7400000","$88,281,943,359","$763,195,929,022"
"May 19, 2021","$42,944.9800000","$43,546.1200000","$30,681.5000000","$37,002.4400000","$126,358,098,747","$692,452,570,147"
"May 18, 2021","$43,488.0600000","$45,812.4600000","$42,367.8300000","$42,909.4000000","$56,187,365,084","$802,974,346,863"
"May 17, 2021","$46,415.9000000","$46,623.5600000","$42,207.2900000","$43,537.5100000","$74,903,638,450","$814,701,646,509"
"May 16, 2021","$46,716.6400000","$49,720.0400000","$43,963.3500000","$46,456.0600000","$64,047,871,555","$869,279,076,502"
"May 15, 2021","$49,855.4900000","$50,639.6700000","$46,664.1400000","$46,760.1900000","$59,161,047,474","$874,931,019,742"
"May 14, 2021","$49,682.9800000","$51,438.1200000","$48,868.5800000","$49,880.5300000","$55,737,497,453","$933,276,901,265"
"May 13, 2021","$49,735.4300000","$51,330.8400000","$46,980.0200000","$49,716.1900000","$96,721,152,926","$930,161,010,060"
"May 12, 2021","$56,714.5300000","$57,939.3600000","$49,150.5300000","$49,150.5300000","$75,215,403,907","$919,527,847,950"
"May 11, 2021","$55,847.2400000","$56,872.5400000","$54,608.6500000","$56,704.5700000","$61,308,396,325","$1,060,790,877,192"
"May 10, 2021","$58,250.8700000","$59,519.3500000","$54,071.4600000","$55,859.8000000","$71,776,546,298","$1,044,927,337,818"
"May 9, 2021","$58,877.3900000","$59,210.8800000","$56,482.0000000","$58,232.3200000","$65,906,690,347","$1,089,244,557,676"
"May 8, 2021","$57,352.7700000","$59,464.6100000","$56,975.2100000","$58,803.7800000","$65,382,980,634","$1,099,863,941,004"
"May 7, 2021","$56,413.9500000","$58,606.6300000","$55,321.8500000","$57,356.4000000","$68,434,023,376","$1,072,727,435,210"
"May 6, 2021","$57,441.3100000","$58,363.3100000","$55,382.5100000","$56,396.5100000","$69,523,285,106","$1,054,714,918,675"
"May 5, 2021","$53,252.1600000","$57,911.3600000","$52,969.0600000","$57,424.0100000","$69,241,316,747","$1,073,873,012,867"
"May 4, 2021","$57,214.1800000","$57,214.1800000","$53,191.4300000","$53,333.5400000","$68,564,706,967","$997,324,142,593"
"May 3, 2021","$56,620.2700000","$58,973.3100000","$56,590.8700000","$57,200.2900000","$51,713,139,031","$1,069,563,935,453"
"May 2, 2021","$57,825.8600000","$57,902.5900000","$56,141.9100000","$56,631.0800000","$38,177,405,335","$1,058,862,005,057"
"May 1, 2021","$57,714.6600000","$58,448.3400000","$57,052.2700000","$57,828.0500000","$42,836,427,360","$1,081,174,515,343"
"Apr 30, 2021","$53,568.6600000","$57,900.7200000","$53,129.6000000","$57,750.1800000","$52,395,931,985","$1,079,669,884,320"
"Apr 29, 2021","$54,858.0900000","$55,115.8400000","$52,418.0300000","$53,555.1100000","$46,088,929,780","$1,001,193,634,072"
"Apr 28, 2021","$55,036.6400000","$56,227.2100000","$53,887.9200000","$54,824.7000000","$48,000,572,955","$1,024,888,208,734"
"Apr 27, 2021","$54,030.3000000","$55,416.9600000","$53,319.1900000","$55,033.1200000","$49,448,222,757","$1,028,733,359,592"
"Apr 26, 2021","$49,077.7900000","$54,288.0000000","$48,852.8000000","$54,021.7500000","$58,284,039,825","$1,009,780,042,661"
"Apr 25, 2021","$50,052.8300000","$50,506.0200000","$47,159.4900000","$49,004.2500000","$46,117,114,240","$915,955,943,256"
"Apr 24, 2021","$51,143.2300000","$51,167.5600000","$48,805.2800000","$50,050.8700000","$49,014,494,781","$935,471,648,213"
"Apr 23, 2021","$51,739.8100000","$52,120.7900000","$47,714.6600000","$51,093.6500000","$86,668,667,320","$954,919,230,092"
"Apr 22, 2021","$53,857.1100000","$55,410.2300000","$50,583.8100000","$51,762.2700000","$74,798,630,778","$967,372,472,375"
"Apr 21, 2021","$56,471.1300000","$56,757.9700000","$53,695.4700000","$53,906.0900000","$54,926,612,466","$1,007,389,534,360"
"Apr 20, 2021","$55,681.7900000","$57,062.1500000","$53,448.0500000","$56,473.0300000","$67,849,323,955","$1,055,323,526,514"
"Apr 19, 2021","$56,191.5800000","$57,520.0500000","$54,368.5900000","$55,724.2700000","$65,344,865,159","$1,041,287,672,154"
"Apr 18, 2021","$60,701.8900000","$61,057.4600000","$52,829.5400000","$56,216.1900000","$97,468,872,758","$1,050,445,401,610"
"Apr 17, 2021","$61,529.9200000","$62,572.1800000","$60,361.3500000","$60,683.8200000","$66,138,759,198","$1,133,882,479,237"
"Apr 16, 2021","$63,258.5100000","$63,594.7200000","$60,222.5300000","$61,572.7900000","$84,293,007,468","$1,150,457,156,740"
"Apr 15, 2021","$63,075.2000000","$63,821.6700000","$62,208.9600000","$63,314.0100000","$60,954,381,579","$1,182,945,492,744"
"Apr 14, 2021","$63,523.7500000","$64,863.1000000","$61,554.8000000","$63,109.7000000","$77,451,779,687","$1,179,061,093,980"
"Apr 13, 2021","$59,890.0200000","$63,742.2800000","$59,869.9600000","$63,503.4600000","$69,983,454,362","$1,186,364,044,140"
"Apr 12, 2021","$60,175.9400000","$61,253.0400000","$59,589.8700000","$59,893.4500000","$51,828,688,519","$1,118,871,072,069"
"Apr 11, 2021","$59,846.2300000","$60,790.5600000","$59,289.8000000","$60,204.9600000","$46,280,252,580","$1,124,635,848,775"
"Apr 10, 2021","$58,253.7800000","$61,276.6700000","$58,038.7100000","$59,793.2400000","$58,238,470,525","$1,116,889,802,872"
"Apr 9, 2021","$58,326.5600000","$58,937.0500000","$57,807.8600000","$58,245.0000000","$46,655,208,546","$1,087,911,057,870"
"Apr 8, 2021","$56,099.9100000","$58,338.7400000","$55,879.0800000","$58,323.9500000","$53,053,855,641","$1,089,334,328,139"
"Apr 7, 2021","$58,186.5100000","$58,731.1400000","$55,604.0200000","$56,048.9400000","$75,645,303,584","$1,046,793,054,753"
"Apr 6, 2021","$59,171.9300000","$59,479.5800000","$57,646.8100000","$58,192.3600000","$66,058,027,988","$1,086,769,183,295"
"Apr 5, 2021","$58,760.8700000","$59,891.3000000","$57,694.8300000","$59,057.8800000","$60,706,272,115","$1,102,880,790,089"
"Apr 4, 2021","$57,604.8400000","$58,913.7500000","$57,168.6800000","$58,758.5600000","$50,749,662,970","$1,097,232,660,348"
"Apr 3, 2021","$59,397.4100000","$60,110.2700000","$57,603.8900000","$57,603.8900000","$59,641,344,484","$1,075,617,261,180"
"Apr 2, 2021","$59,098.8800000","$60,267.1900000","$58,869.2800000","$59,384.3100000","$58,727,860,620","$1,108,813,863,083"
"Apr 1, 2021","$58,926.5600000","$59,586.0700000","$58,505.2800000","$59,095.8100000","$61,669,163,792","$1,103,377,830,758"
"Mar 31, 2021","$58,930.2800000","$59,930.0300000","$57,726.4200000","$58,918.8300000","$65,520,826,225","$1,100,016,786,763"
"Mar 30, 2021","$57,750.1300000","$59,447.2200000","$57,251.5500000","$58,917.6900000","$54,414,116,432","$1,099,939,890,804"
"Mar 29, 2021","$55,947.9000000","$58,342.1000000","$55,139.3400000","$57,750.2000000","$57,625,587,027","$1,078,088,296,477"
"Mar 28, 2021","$55,974.9400000","$56,610.3100000","$55,071.1100000","$55,950.7500000","$47,686,580,918","$1,044,446,559,059"
"Mar 27, 2021","$55,137.5700000","$56,568.2200000","$54,242.9100000","$55,973.5100000","$47,266,542,233","$1,044,814,147,412"
"Mar 26, 2021","$51,683.0100000","$55,137.3100000","$51,579.8600000","$55,137.3100000","$56,652,197,978","$1,029,150,697,411"
"Mar 25, 2021","$52,726.7500000","$53,392.3900000","$50,856.5700000","$51,704.1600000","$67,999,812,841","$965,028,762,666"
"Mar 24, 2021","$54,710.4900000","$57,262.3800000","$52,514.3300000","$52,774.2600000","$70,567,223,787","$984,948,142,898"
"Mar 23, 2021","$54,511.6600000","$55,985.4400000","$53,470.6900000","$54,738.9400000","$56,435,023,914","$1,021,563,479,682"
"Mar 22, 2021","$57,517.8900000","$58,471.4800000","$54,288.1600000","$54,529.1500000","$56,521,454,974","$1,017,595,269,117"
"Mar 21, 2021","$58,309.9100000","$58,767.9000000","$56,005.6200000","$57,523.4200000","$51,943,414,539","$1,073,417,235,408"
"Mar 20, 2021","$58,332.2600000","$60,031.2900000","$58,213.3000000","$58,313.6400000","$50,361,731,222","$1,088,105,221,978"
"Mar 19, 2021","$57,850.4400000","$59,498.3800000","$56,643.7000000","$58,346.6500000","$49,063,873,786","$1,088,666,450,746"
"Mar 18, 2021","$58,893.0800000","$60,116.2500000","$54,253.5800000","$57,858.9200000","$55,746,041,000","$1,079,511,086,884"
"Mar 17, 2021","$56,825.8300000","$58,969.8200000","$54,528.6300000","$58,870.8900000","$60,258,313,191","$1,098,337,655,327"
"Mar 16, 2021","$55,840.7900000","$56,833.1800000","$53,555.0300000","$56,804.9000000","$59,749,798,599","$1,059,745,818,423"
"Mar 15, 2021","$59,267.4300000","$60,540.9900000","$55,393.1700000","$55,907.2000000","$66,419,369,890","$1,042,946,024,860"
"Mar 14, 2021","$61,221.1300000","$61,597.9200000","$59,302.3200000","$59,302.3200000","$43,901,225,564","$1,106,226,132,525"
"Mar 13, 2021","$57,343.3700000","$61,683.8600000","$56,217.9700000","$61,243.0800000","$60,669,829,814","$1,142,369,158,667"
"Mar 12, 2021","$57,821.2200000","$57,996.6200000","$55,376.6500000","$57,332.0900000","$55,689,944,702","$1,069,366,321,844"
"Mar 11, 2021","$55,963.1800000","$58,091.0600000","$54,484.5900000","$57,805.1200000","$56,772,343,595","$1,078,135,604,118"
"Mar 10, 2021","$54,824.0100000","$57,258.2500000","$53,290.8900000","$56,008.5500000","$57,295,577,614","$1,044,580,057,477"
"Mar 9, 2021","$52,272.9700000","$54,824.1200000","$51,981.8300000","$54,824.1200000","$50,912,227,385","$1,022,439,972,862"
"Mar 8, 2021","$51,174.1200000","$52,314.0700000","$49,506.0500000","$52,246.5200000","$48,597,428,048","$974,321,883,623"
"Mar 7, 2021","$48,918.6800000","$51,384.3700000","$48,918.6800000","$51,206.6900000","$43,137,459,378","$954,880,954,585"
"Mar 6, 2021","$48,899.2300000","$49,147.2200000","$47,257.5300000","$48,912.3800000","$34,363,564,661","$912,054,166,029"
"Mar 5, 2021","$48,527.0300000","$49,396.4300000","$46,542.5100000","$48,927.3000000","$48,625,928,883","$912,285,065,720"
"Mar 4, 2021","$50,522.3100000","$51,735.0900000","$47,656.9300000","$48,561.1700000","$52,343,816,680","$905,414,104,807"
"Mar 3, 2021","$48,415.8100000","$52,535.1400000","$48,274.3200000","$50,538.2400000","$53,220,811,975","$942,236,576,905"
"Mar 2, 2021","$49,612.1100000","$50,127.5100000","$47,228.8500000","$48,378.9900000","$47,530,897,720","$901,933,683,269"
"Mar 1, 2021","$45,159.5000000","$49,784.0200000","$45,115.0900000","$49,631.2400000","$53,891,300,112","$925,235,527,882"
"Feb 28, 2021","$46,194.0200000","$46,716.4300000","$43,241.6200000","$45,137.7700000","$53,443,887,451","$841,428,977,515"
"Feb 27, 2021","$46,344.7700000","$48,253.2700000","$45,269.0300000","$46,188.4500000","$45,910,946,382","$860,978,135,421"
"Feb 26, 2021","$47,180.4600000","$48,370.7900000","$44,454.8400000","$46,339.7600000","$350,967,941,479","$863,752,275,053"
"Feb 25, 2021","$49,709.0800000","$51,948.9700000","$47,093.8500000","$47,093.8500000","$54,506,565,949","$877,766,126,138"
"Feb 24, 2021","$48,835.0900000","$51,290.1400000","$47,213.5000000","$49,705.3300000","$63,695,521,388","$926,393,090,751"
"Feb 23, 2021","$54,204.9300000","$54,204.9300000","$45,290.5900000","$48,824.4300000","$106,102,492,824","$909,925,854,460"
"Feb 22, 2021","$57,532.7400000","$57,533.3900000","$48,967.5700000","$54,207.3200000","$92,052,420,332","$1,010,205,212,981"
"Feb 21, 2021","$56,068.5700000","$58,330.5700000","$55,672.6100000","$57,539.9400000","$51,897,585,191","$1,072,263,294,725"
"Feb 20, 2021","$55,887.3400000","$57,505.2300000","$54,626.5600000","$56,099.5200000","$68,145,460,026","$1,045,371,087,640"
"Feb 19, 2021","$51,675.9800000","$56,113.6500000","$50,937.2800000","$55,888.1300000","$63,495,496,918","$1,041,380,696,669"
"Feb 18, 2021","$52,140.9700000","$52,474.1100000","$51,015.7600000","$51,679.8000000","$52,054,723,579","$962,915,078,024"
"Feb 17, 2021","$49,207.2800000","$52,533.9100000","$49,072.3800000","$52,149.0100000","$80,820,545,404","$971,611,626,454"
"Feb 16, 2021","$47,944.4600000","$50,341.1000000","$47,201.3000000","$49,199.8700000","$77,049,582,886","$916,623,418,254"
"Feb 15, 2021","$48,696.5400000","$48,875.5700000","$46,347.4800000","$47,945.0600000","$77,069,903,166","$893,210,080,039"
"Feb 14, 2021","$47,114.5100000","$49,487.6400000","$47,114.5100000","$48,717.2900000","$71,248,675,228","$907,551,330,153"
"Feb 13, 2021","$47,491.2000000","$48,047.7400000","$46,392.2800000","$47,105.5200000","$70,250,456,155","$877,478,894,464"
"Feb 12, 2021","$47,877.0300000","$48,745.7300000","$46,424.9800000","$47,504.8500000","$76,555,041,196","$884,874,050,612"
"Feb 11, 2021","$44,898.7100000","$48,463.4700000","$44,187.7600000","$47,909.3300000","$81,388,911,810","$892,364,856,136"
"Feb 10, 2021","$46,469.7600000","$47,145.5700000","$43,881.1500000","$44,918.1800000","$87,301,089,896","$836,616,907,527"
