Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 04, 2021",$1.85,$1.85,$1.61,$1.71,"$4,583,062,567","$54,660,628,031"
"Jun 03, 2021",$1.75,$1.89,$1.72,$1.84,"$3,443,770,332","$58,799,938,617"
"Jun 02, 2021",$1.74,$1.80,$1.72,$1.75,"$3,453,620,094","$55,999,771,168"
"Jun 01, 2021",$1.74,$1.78,$1.66,$1.73,"$4,123,980,990","$55,422,434,615"
"May 31, 2021",$1.58,$1.75,$1.53,$1.74,"$4,491,096,277","$55,678,821,518"
"May 30, 2021",$1.40,$1.69,$1.35,$1.58,"$4,974,774,760","$50,391,384,963"
"May 29, 2021",$1.51,$1.56,$1.34,$1.41,"$3,902,596,499","$44,926,744,594"
"May 28, 2021",$1.65,$1.68,$1.45,$1.51,"$5,373,114,660","$48,305,428,071"
"May 27, 2021",$1.78,$1.79,$1.61,$1.65,"$4,266,751,905","$52,585,624,036"
"May 26, 2021",$1.55,$1.83,$1.55,$1.78,"$6,638,876,193","$56,954,330,220"
"May 25, 2021",$1.55,$1.65,$1.44,$1.56,"$5,723,130,829","$49,691,394,706"
"May 24, 2021",$1.32,$1.60,$1.27,$1.55,"$7,365,907,636","$49,503,411,493"
"May 23, 2021",$1.47,$1.54,$1.06,$1.33,"$9,297,651,823","$42,345,452,944"
"May 22, 2021",$1.55,$1.60,$1.38,$1.46,"$6,572,397,780","$46,760,255,160"
"May 21, 2021",$1.80,$1.87,$1.33,$1.55,"$9,055,414,507","$49,592,610,205"
"May 20, 2021",$1.47,$1.94,$1.33,$1.81,"$11,788,522,531","$57,841,421,056"
"May 19, 2021",$2.01,$2.03,$1.03,$1.48,"$16,313,794,033","$47,364,054,919"
"May 18, 2021",$2.03,$2.15,$1.98,$2.00,"$6,744,829,200","$64,013,624,855"
"May 17, 2021",$2.30,$2.33,$1.93,$2.03,"$11,250,259,740","$64,926,180,313"
"May 16, 2021",$2.17,$2.46,$2.01,$2.31,"$12,524,150,427","$73,772,243,227"
"May 15, 2021",$2.01,$2.37,$1.97,$2.17,"$15,517,858,775","$69,456,498,161"
"May 14, 2021",$1.93,$2.04,$1.82,$2.00,"$7,654,204,713","$64,049,851,846"
"May 13, 2021",$1.57,$1.97,$1.51,$1.93,"$14,513,419,581","$61,777,434,114"
"May 12, 2021",$1.76,$1.82,$1.55,$1.55,"$5,338,469,591","$49,608,527,761"
"May 11, 2021",$1.64,$1.78,$1.60,$1.76,"$5,428,571,805","$56,359,290,882"
"May 10, 2021",$1.77,$1.82,$1.53,$1.64,"$6,463,330,466","$52,545,259,776"
"May 09, 2021",$1.62,$1.83,$1.58,$1.77,"$8,065,503,276","$56,566,463,237"
"May 08, 2021",$1.65,$1.65,$1.56,$1.62,"$3,959,173,109","$51,742,000,067"
"May 07, 2021",$1.65,$1.75,$1.53,$1.65,"$7,324,573,762","$52,825,018,639"
"May 06, 2021",$1.48,$1.70,$1.43,$1.65,"$10,679,657,004","$52,718,656,416"
"May 05, 2021",$1.27,$1.49,$1.26,$1.48,"$4,797,068,103","$47,140,655,835"
"May 04, 2021",$1.36,$1.37,$1.26,$1.27,"$3,342,089,372","$40,705,676,575"
"May 03, 2021",$1.33,$1.38,$1.32,$1.36,"$2,398,404,766","$43,514,548,966"
"May 02, 2021",$1.35,$1.35,$1.30,$1.33,"$1,994,291,746","$42,389,411,930"
"May 01, 2021",$1.35,$1.37,$1.32,$1.35,"$2,030,816,122","$43,228,336,017"
"Apr 30, 2021",$1.31,$1.37,$1.29,$1.35,"$2,691,072,833","$43,208,459,367"
"Apr 29, 2021",$1.34,$1.41,$1.27,$1.31,"$3,997,566,407","$41,788,829,478"
"Apr 28, 2021",$1.31,$1.35,$1.24,$1.34,"$2,981,476,669","$42,672,268,919"
"Apr 27, 2021",$1.24,$1.33,$1.22,$1.31,"$2,985,492,683","$41,754,114,326"
"Apr 26, 2021",$1.09,$1.25,$1.08,$1.23,"$3,201,086,934","$39,424,835,370"
"Apr 25, 2021",$1.10,$1.15,$1.02,$1.09,"$2,465,672,138","$34,767,757,835"
"Apr 24, 2021",$1.16,$1.20,$1.10,$1.10,"$3,566,224,272","$35,186,428,203"
"Apr 23, 2021",$1.15,$1.17,$0.94,$1.16,"$7,196,378,408","$36,922,722,804"
"Apr 22, 2021",$1.20,$1.28,$1.12,$1.15,"$4,693,396,293","$36,645,258,024"
"Apr 21, 2021",$1.27,$1.29,$1.20,$1.21,"$4,078,624,182","$38,553,136,747"
"Apr 20, 2021",$1.19,$1.28,$1.13,$1.27,"$4,855,633,658","$40,444,459,861"
"Apr 19, 2021",$1.28,$1.32,$1.17,$1.20,"$5,665,978,235","$38,272,759,892"
"Apr 18, 2021",$1.39,$1.40,$1.10,$1.28,"$7,454,680,286","$40,750,096,836"
"Apr 17, 2021",$1.41,$1.46,$1.37,$1.38,"$4,058,018,560","$44,244,219,073"
"Apr 16, 2021",$1.48,$1.52,$1.34,$1.42,"$5,692,183,858","$45,269,118,282"
"Apr 15, 2021",$1.45,$1.49,$1.42,$1.48,"$5,337,358,369","$47,334,226,350"
"Apr 14, 2021",$1.41,$1.56,$1.35,$1.46,"$9,596,107,541","$46,498,212,198"
"Apr 13, 2021",$1.31,$1.44,$1.28,$1.41,"$5,896,543,066","$45,104,180,472"
"Apr 12, 2021",$1.27,$1.35,$1.27,$1.32,"$4,918,248,258","$42,048,031,658"
"Apr 11, 2021",$1.22,$1.29,$1.20,$1.27,"$3,636,786,443","$40,470,031,448"
"Apr 10, 2021",$1.20,$1.25,$1.20,$1.22,"$2,481,275,569","$38,937,266,407"
"Apr 09, 2021",$1.22,$1.23,$1.19,$1.20,"$1,678,933,674","$38,451,053,585"
"Apr 08, 2021",$1.18,$1.22,$1.17,$1.22,"$2,315,835,365","$38,958,913,858"
"Apr 07, 2021",$1.26,$1.29,$1.17,$1.18,"$4,771,395,490","$37,544,017,970"
"Apr 06, 2021",$1.21,$1.34,$1.20,$1.26,"$6,301,229,657","$40,106,447,233"
"Apr 05, 2021",$1.19,$1.23,$1.18,$1.21,"$2,992,739,340","$38,794,825,908"
"Apr 04, 2021",$1.17,$1.20,$1.17,$1.19,"$2,166,855,014","$38,063,850,601"
"Apr 03, 2021",$1.20,$1.24,$1.17,$1.17,"$3,355,350,115","$37,484,228,834"
"Apr 02, 2021",$1.19,$1.25,$1.19,$1.20,"$2,909,026,267","$38,226,452,476"
"Apr 01, 2021",$1.19,$1.21,$1.18,$1.19,"$2,309,789,364","$37,994,346,512"
"Mar 31, 2021",$1.21,$1.21,$1.17,$1.19,"$3,190,463,749","$38,122,781,325"
"Mar 30, 2021",$1.20,$1.23,$1.19,$1.21,"$2,517,422,843","$38,763,410,938"
"Mar 29, 2021",$1.19,$1.23,$1.18,$1.20,"$2,554,597,106","$38,419,153,521"
"Mar 28, 2021",$1.18,$1.22,$1.17,$1.19,"$2,397,009,016","$38,054,391,213"
"Mar 27, 2021",$1.21,$1.24,$1.16,$1.18,"$3,106,871,131","$37,589,641,439"
"Mar 26, 2021",$1.10,$1.28,$1.10,$1.21,"$6,325,795,912","$38,784,256,431"
"Mar 25, 2021",$1.07,$1.15,$1.06,$1.10,"$5,732,698,268","$35,193,427,842"
"Mar 24, 2021",$1.12,$1.16,$1.06,$1.08,"$3,759,287,517","$34,344,508,821"
"Mar 23, 2021",$1.11,$1.17,$1.09,$1.12,"$4,609,407,773","$35,831,695,679"
"Mar 22, 2021",$1.19,$1.21,$1.09,$1.11,"$4,058,067,310","$35,458,596,654"
"Mar 21, 2021",$1.21,$1.24,$1.16,$1.19,"$4,064,084,727","$37,991,018,691"
"Mar 20, 2021",$1.30,$1.31,$1.21,$1.21,"$4,316,999,916","$38,546,959,900"
"Mar 19, 2021",$1.24,$1.34,$1.20,$1.30,"$7,970,282,918","$41,602,128,113"
"Mar 18, 2021",$1.38,$1.47,$1.24,$1.24,"$11,392,835,545","$39,584,149,301"
"Mar 17, 2021",$1.24,$1.42,$1.21,$1.38,"$10,046,495,758","$44,046,287,352"
"Mar 16, 2021",$1.03,$1.26,$1.00,$1.24,"$9,502,962,157","$39,710,232,338"
"Mar 15, 2021",$1.06,$1.07,$1.01,$1.03,"$4,545,451,677","$33,019,817,868"
"Mar 14, 2021",$1.10,$1.10,$1.06,$1.06,"$3,738,147,940","$33,838,166,627"
"Mar 13, 2021",$1.04,$1.18,$0.99,$1.10,"$5,871,086,058","$35,249,017,882"
"Mar 12, 2021",$1.12,$1.13,$1.03,$1.04,"$4,224,893,051","$33,198,891,101"
"Mar 11, 2021",$1.13,$1.14,$1.11,$1.12,"$3,633,460,869","$35,935,123,941"
"Mar 10, 2021",$1.20,$1.20,$1.12,$1.14,"$4,215,428,913","$36,261,417,319"
"Mar 09, 2021",$1.12,$1.21,$1.11,$1.20,"$5,317,733,185","$38,183,375,234"
"Mar 08, 2021",$1.13,$1.18,$1.11,$1.12,"$3,557,114,310","$35,719,914,246"
"Mar 07, 2021",$1.13,$1.14,$1.11,$1.13,"$4,204,795,554","$36,209,148,044"
"Mar 06, 2021",$1.17,$1.18,$1.09,$1.13,"$5,348,048,001","$36,133,913,814"
"Mar 05, 2021",$1.11,$1.20,$1.04,$1.17,"$7,325,099,027","$37,332,335,359"
"Mar 04, 2021",$1.22,$1.23,$1.07,$1.11,"$7,164,490,225","$35,618,147,966"
"Mar 03, 2021",$1.23,$1.26,$1.21,$1.22,"$4,937,160,429","$38,868,096,418"
"Mar 02, 2021",$1.29,$1.30,$1.19,$1.23,"$8,118,255,106","$39,155,277,835"
"Mar 01, 2021",$1.31,$1.34,$1.24,$1.29,"$9,775,330,113","$41,289,607,566"
"Feb 28, 2021",$1.32,$1.36,$1.17,$1.31,"$15,732,556,180","$40,696,967,235"
"Feb 27, 2021",$1.24,$1.48,$1.23,$1.32,"$19,141,980,288","$41,219,695,427"
"Feb 26, 2021",$1.08,$1.29,$1.00,$1.24,"$14,884,142,109","$38,613,872,246"
"Feb 25, 2021",$1.05,$1.17,$1.02,$1.08,"$8,248,286,269","$33,573,986,145"
"Feb 24, 2021",$0.95,$1.07,$0.90,$1.05,"$8,481,334,623","$32,719,650,909"
"Feb 23, 2021",$1.10,$1.13,$0.82,$0.95,"$11,201,900,117","$29,703,373,313"
"Feb 22, 2021",$1.10,$1.13,$0.85,$1.10,"$10,562,051,439","$34,197,312,215"
"Feb 21, 2021",$1.12,$1.15,$1.08,$1.10,"$7,042,361,464","$34,239,897,895"
"Feb 20, 2021",$0.93,$1.19,$0.92,$1.12,"$11,454,890,463","$34,938,012,154"
"Feb 19, 2021",$0.91,$0.94,$0.89,$0.93,"$4,582,877,243","$28,861,468,234"
"Feb 18, 2021",$0.89,$0.96,$0.89,$0.91,"$4,918,032,802","$28,440,499,325"
"Feb 17, 2021",$0.87,$0.90,$0.83,$0.89,"$5,841,828,077","$27,718,724,943"
"Feb 16, 2021",$0.86,$0.90,$0.84,$0.87,"$6,948,621,246","$27,097,447,122"
"Feb 15, 2021",$0.85,$0.91,$0.72,$0.86,"$8,979,888,270","$26,788,220,383"
"Feb 14, 2021",$0.91,$0.91,$0.82,$0.85,"$7,159,401,195","$26,396,411,405"
"Feb 13, 2021",$0.93,$0.95,$0.83,$0.91,"$7,532,474,270","$28,179,179,477"
"Feb 12, 2021",$0.93,$0.95,$0.87,$0.93,"$8,035,829,513","$28,797,323,576"
"Feb 11, 2021",$0.93,$0.97,$0.87,$0.93,"$10,627,183,208","$28,864,337,307"
"Feb 10, 2021",$0.70,$0.94,$0.70,$0.93,"$12,667,653,585","$28,944,519,827"
