Date,Open,High,Low,Close,Volume,Market_Cap,Price,market_mode,market_change(%),jump(%),Quantity
2021-07-13,0.208,0.2081,0.1982,0.2,1035890377,26085611532,0.20315,negative,-3.85,4.99,5099140423
2021-07-12,0.216,0.219,0.2045,0.208,973602708,27131951860,0.21175,negative,-3.7,7.09,4597887641
2021-07-11,0.2139,0.2187,0.2109,0.2159,719870047,28147268916,0.2148,positive,0.94,3.7,3351350311
2021-07-10,0.2198,0.2277,0.2107,0.2139,1264519098,27891519500,0.2192,negative,-2.68,8.07,5768791505
2021-07-09,0.2071,0.2291,0.1966,0.2199,3045790264,28663595549,0.21284999999999998,positive,6.18,16.53,14309561963
2021-07-08,0.2244,0.2249,0.203,0.2076,1789637577,27062076763,0.21395,negative,-7.49,10.79,8364746795
2021-07-07,0.2343,0.2379,0.2226,0.2241,1148903688,29213771029,0.23025,negative,-4.35,6.87,4989809719
2021-07-06,0.2312,0.2419,0.2298,0.2344,1265920169,30552518424,0.23585,positive,1.38,5.27,5367480046
2021-07-05,0.2464,0.2464,0.2278,0.2316,1267949362,30183443827,0.2371,negative,-6.01,8.17,5347740877
2021-07-04,0.2464,0.2526,0.2434,0.2465,973511519,32117665811,0.248,positive,0.04,3.78,3925449673
2021-07-03,0.2451,0.2502,0.2425,0.2464,917015819,32104908915,0.24634999999999999,positive,0.53,3.18,3722410468
2021-07-02,0.244,0.248,0.2388,0.2453,1321470954,31949253278,0.2434,positive,0.53,3.85,5429215094
2021-07-01,0.2538,0.2601,0.2387,0.2445,2463946548,31852848923,0.2494,negative,-3.66,8.97,9879496984
2021-06-30,0.2634,0.2635,0.2383,0.2542,2047763830,33111043725,0.2509,negative,-3.49,10.57,8161673296
2021-06-29,0.2571,0.2749,0.253,0.2628,2192562738,34221491748,0.26395,positive,2.22,8.66,8306735131
2021-06-28,0.2649,0.267,0.2508,0.2569,1932994784,33446496885,0.2589,negative,-3.02,6.46,7466183020
2021-06-27,0.246,0.2669,0.2409,0.2644,2167521670,34431598886,0.2539,positive,7.48,10.79,8536910870
2021-06-26,0.2377,0.2551,0.231,0.2448,2649457302,31867533719,0.24305,positive,2.99,10.43,10900873491
2021-06-25,0.2635,0.2891,0.23,0.2392,5542163262,31131171916,0.25955,negative,-9.22,25.7,21352969608
2021-06-24,0.235,0.2687,0.2225,0.2628,3844648059,34205589763,0.24559999999999998,positive,11.83,20.76,15654104474
2021-06-23,0.1907,0.2471,0.181,0.2322,5098674891,30217348680,0.21405,positive,21.76,36.52,23820018177
2021-06-22,0.1787,0.2161,0.1647,0.191,5992850344,24858743142,0.1904,positive,6.88,31.21,31475054327
2021-06-21,0.2807,0.2809,0.1665,0.1787,5640232167,23250576500,0.2237,negative,-36.34,68.71,25213375802
2021-06-20,0.2864,0.2897,0.2565,0.2809,1963503800,36545750822,0.2731,negative,-1.92,12.94,7189688026
2021-06-19,0.2936,0.2978,0.2862,0.2874,1003248258,37382435534,0.29200000000000004,negative,-2.11,4.05,3435781705
2021-06-18,0.3064,0.3078,0.2805,0.2935,1846213589,38174078175,0.29415,negative,-4.21,9.73,6276435794
2021-06-17,0.3077,0.314,0.3033,0.3065,1120766442,39863941887,0.30865,negative,-0.39,3.53,3631188861
2021-06-16,0.3204,0.3214,0.3055,0.3078,1391720788,40024275630,0.31345,negative,-3.93,5.2,4440008894
2021-06-15,0.3268,0.3305,0.317,0.3284,1687965230,42701157582,0.32375,positive,0.49,4.26,5213792216
