Date,Open*,High,Low,Close**,Volume,Market Cap
"June 4, 2021",$0.4000000,$0.4000000,$0.3500000,$0.3800000,"$5,889,983,048","$48,877,461,705"
"June 3, 2021",$0.4200000,$0.4400000,$0.3800000,$0.4000000,"$6,809,900,030","$51,942,452,228"
"June 2, 2021",$0.3700000,$0.4400000,$0.3500000,$0.4200000,"$11,425,588,479","$54,976,914,119"
"June 1, 2021",$0.3300000,$0.3800000,$0.3100000,$0.3700000,"$5,796,031,087","$48,050,998,401"
"May 31, 2021",$0.3000000,$0.3300000,$0.2900000,$0.3300000,"$2,440,829,325","$42,298,953,606"
"May 30, 2021",$0.3000000,$0.3100000,$0.2900000,$0.3000000,"$1,929,947,933","$39,232,589,726"
"May 29, 2021",$0.3100000,$0.3200000,$0.2800000,$0.3000000,"$2,470,710,737","$39,344,899,569"
"May 28, 2021",$0.3300000,$0.3500000,$0.3000000,$0.3100000,"$3,289,455,640","$40,391,360,016"
"May 27, 2021",$0.3500000,$0.3500000,$0.3300000,$0.3300000,"$2,485,942,309","$43,208,473,793"
"May 26, 2021",$0.3500000,$0.3700000,$0.3400000,$0.3500000,"$3,355,793,260","$45,896,157,271"
"May 25, 2021",$0.3700000,$0.3800000,$0.3200000,$0.3500000,"$5,544,552,739","$44,932,307,822"
"May 24, 2021",$0.3100000,$0.3700000,$0.3000000,$0.3700000,"$6,821,088,755","$47,504,120,043"
"May 23, 2021",$0.3400000,$0.3500000,$0.2500000,$0.3100000,"$7,143,545,371","$39,963,404,929"
"May 22, 2021",$0.3600000,$0.3600000,$0.3200000,$0.3400000,"$5,243,222,352","$44,408,253,680"
"May 21, 2021",$0.4000000,$0.4100000,$0.3100000,$0.3600000,"$7,452,862,203","$46,609,753,575"
"May 20, 2021",$0.3300000,$0.4300000,$0.3000000,$0.4000000,"$12,415,484,460","$51,897,302,336"
"May 19, 2021",$0.4800000,$0.6800000,$0.2200000,$0.3300000,"$15,072,620,946","$43,194,982,873"
"May 18, 2021",$0.4900000,$0.5200000,$0.4700000,$0.4800000,"$4,802,902,841","$61,729,644,541"
"May 17, 2021",$0.5100000,$0.5200000,$0.4600000,$0.4900000,"$7,330,830,504","$63,249,211,418"
"May 16, 2021",$0.5100000,$0.5500000,$0.4500000,$0.5100000,"$9,541,552,064","$66,742,824,282"
"May 15, 2021",$0.5600000,$0.5600000,$0.4900000,$0.5100000,"$9,836,892,944","$65,838,461,456"
"May 14, 2021",$0.4900000,$0.5900000,$0.4600000,$0.5600000,"$20,466,177,002","$72,522,897,885"
"May 13, 2021",$0.3900000,$0.5200000,$0.3600000,$0.4900000,"$18,663,174,069","$63,544,125,614"
"May 12, 2021",$0.4900000,$0.5200000,$0.3900000,$0.3900000,"$8,621,337,859","$49,932,901,319"
"May 11, 2021",$0.4500000,$0.5500000,$0.4500000,$0.5000000,"$14,566,975,476","$64,161,634,641"
"May 10, 2021",$0.5700000,$0.5700000,$0.4200000,$0.4500000,"$16,514,521,828","$58,290,605,343"
"May 9, 2021",$0.6400000,$0.7000000,$0.4300000,$0.5700000,"$46,138,063,928","$73,841,942,943"
"May 8, 2021",$0.6900000,$0.7400000,$0.6100000,$0.6400000,"$25,555,125,135","$82,429,781,487"
"May 7, 2021",$0.5800000,$0.7300000,$0.5200000,$0.6800000,"$28,615,083,657","$88,680,824,303"
"May 6, 2021",$0.6500000,$0.6600000,$0.5500000,$0.5800000,"$18,989,900,291","$75,207,782,074"
"May 5, 2021",$0.5400000,$0.7000000,$0.5200000,$0.6600000,"$42,525,098,292","$85,147,176,077"
"May 4, 2021",$0.4400000,$0.6100000,$0.4000000,$0.5400000,"$38,238,126,181","$70,081,925,802"
"May 3, 2021",$0.3700000,$0.4500000,$0.3700000,$0.4400000,"$10,526,649,978","$57,177,802,914"
"May 2, 2021",$0.3900000,$0.4000000,$0.3600000,$0.3800000,"$8,040,406,918","$48,672,985,630"
"May 1, 2021",$0.3400000,$0.4000000,$0.3300000,$0.3900000,"$10,123,343,703","$50,860,335,491"
"Apr 30, 2021",$0.3000000,$0.3400000,$0.3000000,$0.3400000,"$5,290,390,982","$43,681,559,535"
"Apr 29, 2021",$0.3200000,$0.3200000,$0.3000000,$0.3100000,"$5,027,354,503","$39,485,786,704"
"Apr 28, 2021",$0.2700000,$0.3400000,$0.2600000,$0.3200000,"$14,464,343,767","$41,876,610,359"
"Apr 27, 2021",$0.2700000,$0.2800000,$0.2600000,$0.2700000,"$3,590,611,310","$35,210,893,019"
"Apr 26, 2021",$0.2500000,$0.2800000,$0.2500000,$0.2700000,"$5,118,886,527","$35,011,409,694"
"Apr 25, 2021",$0.2700000,$0.2900000,$0.2300000,$0.2500000,"$6,849,914,675","$32,477,418,138"
"Apr 24, 2021",$0.2500000,$0.2900000,$0.2300000,$0.2700000,"$11,057,578,568","$34,944,176,235"
