Date,Open*,High,Low,Close**,Volume,Market Cap
"June 4, 2021","$2,857.1700000","$2,857.1700000","$2,562.6400000","$2,688.1900000","$34,173,841,611","$312,256,566,095"
"June 3, 2021","$2,708.3800000","$2,891.2500000","$2,667.6800000","$2,855.1300000","$30,038,207,402","$331,608,133,101"
"June 2, 2021","$2,634.4600000","$2,801.3900000","$2,555.4000000","$2,706.1200000","$27,723,267,359","$314,266,256,163"
"June 1, 2021","$2,707.5600000","$2,739.7400000","$2,531.1600000","$2,633.5200000","$27,363,223,090","$305,798,597,367"
"May 31, 2021","$2,387.2000000","$2,715.8600000","$2,279.5100000","$2,714.9500000","$31,007,383,150","$315,217,277,483"
"May 30, 2021","$2,278.2900000","$2,472.1900000","$2,188.8300000","$2,390.3100000","$25,876,619,428","$277,492,990,927"
"May 29, 2021","$2,414.0700000","$2,566.9400000","$2,208.4900000","$2,279.5100000","$33,773,720,220","$264,600,384,052"
"May 28, 2021","$2,742.4700000","$2,761.3600000","$2,336.3600000","$2,419.9100000","$39,999,114,805","$280,864,129,343"
"May 27, 2021","$2,888.7500000","$2,888.7500000","$2,642.6100000","$2,736.4900000","$33,373,635,283","$317,571,010,585"
"May 26, 2021","$2,707.0500000","$2,911.7400000","$2,652.0900000","$2,888.7000000","$42,499,766,020","$335,196,485,646"
"May 25, 2021","$2,649.0300000","$2,750.5300000","$2,394.3600000","$2,706.6300000","$49,558,333,256","$314,033,309,034"
"May 24, 2021","$2,099.9400000","$2,672.6000000","$2,090.6400000","$2,643.5900000","$53,697,121,740","$306,684,156,290"
"May 23, 2021","$2,298.3700000","$2,384.4100000","$1,737.4700000","$2,109.5800000","$56,005,721,977","$244,704,904,961"
"May 22, 2021","$2,436.0100000","$2,483.9800000","$2,168.1200000","$2,295.7100000","$42,089,937,660","$266,263,966,984"
"May 21, 2021","$2,772.3400000","$2,938.2100000","$2,113.3500000","$2,430.6200000","$53,774,070,802","$281,879,243,639"
"May 20, 2021","$2,439.6400000","$2,993.1500000","$2,170.2300000","$2,784.2900000","$67,610,826,680","$322,857,390,499"
"May 19, 2021","$3,382.6600000","$3,437.9400000","$1,952.4600000","$2,460.6800000","$84,482,912,776","$285,298,709,245"
"May 18, 2021","$3,276.8700000","$3,562.4700000","$3,246.4000000","$3,380.0700000","$40,416,525,218","$391,850,295,263"
"May 17, 2021","$3,581.3400000","$3,587.7700000","$3,129.0100000","$3,282.4000000","$54,061,732,774","$380,482,843,865"
"May 16, 2021","$3,641.8300000","$3,878.9000000","$3,350.9500000","$3,587.5100000","$47,359,478,734","$415,801,534,962"
"May 15, 2021","$4,075.9500000","$4,129.1900000","$3,638.1200000","$3,638.1200000","$42,422,321,751","$421,619,090,683"
"May 14, 2021","$3,720.1200000","$4,171.0200000","$3,703.4000000","$4,079.0600000","$48,174,271,215","$472,663,570,788"
"May 13, 2021","$3,828.9200000","$4,032.5600000","$3,549.4100000","$3,715.1500000","$78,398,214,539","$430,445,282,301"
"May 12, 2021","$4,174.6400000","$4,362.3500000","$3,785.8500000","$3,785.8500000","$69,023,382,175","$438,585,075,674"
"May 11, 2021","$3,948.2700000","$4,178.2100000","$3,783.8900000","$4,168.7000000","$52,679,737,865","$482,881,900,491"
"May 10, 2021","$3,924.4100000","$4,197.4700000","$3,684.4500000","$3,952.2900000","$62,691,789,007","$457,761,219,807"
"May 9, 2021","$3,911.4600000","$3,981.2600000","$3,743.9900000","$3,928.8400000","$50,568,290,278","$454,991,994,900"
"May 8, 2021","$3,481.9900000","$3,950.1600000","$3,453.7700000","$3,902.6500000","$50,208,491,286","$451,905,650,094"
"May 7, 2021","$3,490.1100000","$3,573.2900000","$3,370.2600000","$3,484.7300000","$39,607,240,515","$403,465,702,897"
"May 6, 2021","$3,524.9300000","$3,598.9000000","$3,386.2400000","$3,490.8800000","$44,300,394,788","$404,131,394,792"
"May 5, 2021","$3,240.5500000","$3,541.4600000","$3,213.1000000","$3,522.7800000","$48,334,198,383","$407,777,080,466"
